,former,,,,,,forecast,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
4/21/2010,2037.150024,2040.829956,2021.719971,2034.530029,2034.530029,2715900000,2016.48999,2047.109985,2002.969971,2045.160034,2045.160034,2800840000
4/22/2010,2016.48999,2047.109985,2002.969971,2045.160034,2045.160034,2800840000,2042.800049,2055.629883,2036.98999,2055.330078,2055.330078,2517010000
4/23/2010,2042.800049,2055.629883,2036.98999,2055.330078,2055.330078,2517010000,2054.840088,2059.419922,2045.640015,2049.090088,2049.090088,2491040000
4/26/2010,2054.840088,2059.419922,2045.640015,2049.090088,2049.090088,2491040000,2040.430054,2049.899902,2001.02002,2006.25,2006.25,2864810000
4/27/2010,2040.430054,2049.899902,2001.02002,2006.25,2006.25,2864810000,2016.52002,2017.920044,1991.949951,2007.589966,2007.589966,2755190000
4/28/2010,2016.52002,2017.920044,1991.949951,2007.589966,2007.589966,2755190000,2020.51001,2045.859985,2019.319946,2042.890015,2042.890015,3069640000
4/29/2010,2020.51001,2045.859985,2019.319946,2042.890015,2042.890015,3069640000,2040.579956,2044.390015,2000.26001,2000.630005,2000.630005,2841130000
4/30/2010,2040.579956,2044.390015,2000.26001,2000.630005,2000.630005,2841130000,2010.939941,2039.52002,2010.910034,2031.599976,2031.599976,2398370000
5/03/2010,2010.939941,2039.52002,2010.910034,2031.599976,2031.599976,2398370000,2003.589966,2003.589966,1955.390015,1968.969971,1968.969971,3052590000
5/04/2010,2003.589966,2003.589966,1955.390015,1968.969971,1968.969971,3052590000,1947.349976,1971.099976,1936.560059,1958.26001,1958.26001,3041480000
5/05/2010,1947.349976,1971.099976,1936.560059,1958.26001,1958.26001,3041480000,1948.25,1964.099976,1752.310059,1893.75,1893.75,4553600000
5/06/2010,1948.25,1964.099976,1752.310059,1893.75,1893.75,4553600000,1879.76001,1901.890015,1808.069946,1849.439941,1849.439941,4227720000
5/07/2010,1879.76001,1901.890015,1808.069946,1849.439941,1849.439941,4227720000,1931.52002,1942.640015,1923.52002,1942.609985,1942.609985,2871800000
5/10/2010,1931.52002,1942.640015,1923.52002,1942.609985,1942.609985,2871800000,1920.23999,1966.47998,1918.119995,1940.47998,1940.47998,2548840000
5/11/2010,1920.23999,1966.47998,1918.119995,1940.47998,1940.47998,2548840000,1951.98999,1977.420044,1947.199951,1975.579956,1975.579956,2351900000
5/12/2010,1951.98999,1977.420044,1947.199951,1975.579956,1975.579956,2351900000,1969.439941,1983.130005,1940.439941,1945.52002,1945.52002,2375250000
5/13/2010,1969.439941,1983.130005,1940.439941,1945.52002,1945.52002,2375250000,1928.579956,1929.910034,1885.51001,1907.099976,1907.099976,2653020000
5/14/2010,1928.579956,1929.910034,1885.51001,1907.099976,1907.099976,2653020000,1911.380005,1920.75,1872.920044,1915.449951,1915.449951,2434480000
5/17/2010,1911.380005,1920.75,1872.920044,1915.449951,1915.449951,2434480000,1929.119995,1933.25,1878.550049,1887.060059,1887.060059,2490310000
5/18/2010,1929.119995,1933.25,1878.550049,1887.060059,1887.060059,2490310000,1879.319946,1894.410034,1850.959961,1873.420044,1873.420044,2646160000
5/19/2010,1879.319946,1894.410034,1850.959961,1873.420044,1873.420044,2646160000,1830.170044,1839.98999,1798.199951,1800.119995,1800.119995,3420420000
5/20/2010,1830.170044,1839.98999,1798.199951,1800.119995,1800.119995,3420420000,1772.339966,1834.689941,1767.939941,1822.77002,1822.77002,3389670000
5/21/2010,1772.339966,1834.689941,1767.939941,1822.77002,1822.77002,3389670000,1818.459961,1841.109985,1814.170044,1815.280029,1815.280029,2150020000
5/24/2010,1818.459961,1841.109985,1814.170044,1815.280029,1815.280029,2150020000,1769.319946,1818.280029,1756.630005,1815.680054,1815.680054,2946380000
5/25/2010,1769.319946,1818.280029,1756.630005,1815.680054,1815.680054,2946380000,1827.579956,1850.800049,1793.030029,1796.469971,1796.469971,3077300000
5/26/2010,1827.579956,1850.800049,1793.030029,1796.469971,1796.469971,3077300000,1837.650024,1863.869995,1831.780029,1862.709961,1862.709961,2408220000
5/27/2010,1837.650024,1863.869995,1831.780029,1862.709961,1862.709961,2408220000,1865.890015,1867.719971,1836.22998,1852.390015,1852.390015,2165590000
5/28/2010,1865.890015,1867.719971,1836.22998,1852.390015,1852.390015,2165590000,1846.599976,1878.040039,1832.959961,1835.040039,1835.040039,2167810000
6/01/2010,1846.599976,1878.040039,1832.959961,1835.040039,1835.040039,2167810000,1844.689941,1879.589966,1832.579956,1879.589966,1879.589966,2190140000
6/02/2010,1844.689941,1879.589966,1832.579956,1879.589966,1879.589966,2190140000,1883.25,1898.930054,1871.589966,1895.660034,1895.660034,2249050000
6/03/2010,1883.25,1898.930054,1871.589966,1895.660034,1895.660034,2249050000,1857.829956,1879.310059,1824.709961,1832.040039,1832.040039,2342480000
6/04/2010,1857.829956,1879.310059,1824.709961,1832.040039,1832.040039,2342480000,1839.77002,1845.300049,1795.540039,1798.160034,1798.160034,2256670000
6/07/2010,1839.77002,1845.300049,1795.540039,1798.160034,1798.160034,2256670000,1799.26001,1805.839966,1770.459961,1795.699951,1795.699951,2696580000
